,ZIP Code,latitude,longitude,city,state,county
36231,82712,44.543625,-104.07453199999999,Beulah,WY,Crook
36232,82713,44.525890999999994,-104.76784599999999,Carlile,WY,Crook
36233,82714,44.524758,-104.68669200000001,Devils Tower,WY,Crook
36234,82715,43.840033,-104.568128,Four Corners,WY,Weston
36235,82716,44.377283,-105.55023700000001,Gillette,WY,Campbell
36236,82717,44.304713,-105.495943,Gillette,WY,Campbell
36237,82718,43.928249,-105.54924399999999,Gillette,WY,Campbell
36238,82720,44.675348,-104.661438,Hulett,WY,Crook
36239,82721,44.415431,-104.838916,Moorcroft,WY,Crook
36240,82723,44.04631,-104.360224,Osage,WY,Weston
36241,82725,44.851059,-105.669641,Recluse,WY,Campbell
36242,82727,44.412924,-105.529275,Rozet,WY,Campbell
36243,82729,44.352274,-104.420625,Sundance,WY,Crook
36244,82730,43.937319,-104.620856,Upton,WY,Weston
36245,82731,44.770503000000005,-105.358147,Weston,WY,Campbell
36246,82732,43.761421999999996,-105.52013500000001,Wright,WY,Campbell
36247,82801,44.780378000000006,-106.83756299999999,Sheridan,WY,Sheridan
36248,82831,44.731059,-106.39241299999999,Arvada,WY,Sheridan
36249,82832,44.768801,-106.55558700000002,Banner,WY,Sheridan
36250,82833,44.653104,-107.02471299999999,Big Horn,WY,Sheridan
36251,82834,44.122611,-106.56106799999999,Buffalo,WY,Johnson
36252,82835,44.770346,-106.425278,Clearmont,WY,Sheridan
36253,82836,44.870973,-107.330606,Dayton,WY,Sheridan
36254,82837,44.783153000000006,-106.280598,Leiter,WY,Sheridan
36255,82838,44.808925,-107.135181,Parkman,WY,Sheridan
36256,82839,44.917078000000004,-107.17399499999999,Ranchester,WY,Sheridan
36257,82840,44.497609000000004,-106.87096299999999,Saddlestring,WY,Johnson
36258,82842,44.580015,-106.897795,Story,WY,Sheridan
36259,82844,44.850012,-107.185309,Wolf,WY,Sheridan
36260,82845,44.753413,-106.694907,Wyarno,WY,Sheridan
36261,82901,41.634515,-109.149045,Rock Springs,WY,Sweetwater
36262,82902,41.631408,-108.963931,Rock Springs,WY,Sweetwater
36263,82922,43.221022,-110.152755,Bondurant,WY,Sublette
36264,82923,42.723092,-109.582132,Boulder,WY,Sublette
36265,82925,43.125465000000005,-109.981117,Cora,WY,Sublette
36266,82929,41.758101,-109.745873,Little America,WY,Sweetwater
36267,82930,41.233758,-110.664401,Evanston,WY,Uinta
36268,82931,41.261943,-110.919995,Evanston,WY,Uinta
36269,82932,42.083362,-109.41835800000001,Farson,WY,Sweetwater
36270,82933,41.295023,-110.39909399999999,Fort Bridger,WY,Uinta
36271,82934,41.537225,-109.76304499999999,Granger,WY,Sweetwater
36272,82935,41.51437,-109.42761599999999,Green River,WY,Sweetwater
36273,82936,41.024224,-110.173336,Lonetree,WY,Uinta
36274,82937,41.331817,-110.303367,Lyman,WY,Uinta
36275,82938,41.251079,-109.275019,Mc Kinnon,WY,Sweetwater
36276,82939,41.233491,-110.337157,Mountain View,WY,Uinta
36277,82941,42.849757000000004,-109.93896799999999,Pinedale,WY,Sublette
36278,82942,41.653038,-108.525247,Point Of Rocks,WY,Sweetwater
36279,82943,41.669845,-109.19185700000001,Reliance,WY,Sweetwater
36280,82944,41.099266,-110.50065500000001,Robertson,WY,Uinta
36281,82945,41.7643,-108.96806200000002,Superior,WY,Sweetwater
36282,83001,43.452793,-110.73926599999999,Jackson,WY,Teton
36283,83002,43.50537,-110.786527,Jackson,WY,Teton
36284,83011,43.950896,-110.55318100000001,Kelly,WY,Teton
36285,83012,43.550144,-110.74749399999999,Moose,WY,Teton
36286,83013,43.950896,-110.55318100000001,Moran,WY,Teton
36287,83014,43.482361,-110.839782,Wilson,WY,Teton
36288,83025,43.443851,-110.694002,Teton Village,WY,Teton
36289,83101,42.368433,-110.514132,Kemmerer,WY,Lincoln
36290,83110,42.711296000000004,-110.61973400000001,Afton,WY,Lincoln
36291,83111,42.478175,-110.98156100000001,Auburn,WY,Lincoln
36292,83112,42.8701,-110.94006200000001,Bedford,WY,Lincoln
36293,83113,42.648328,-110.12461599999999,Big Piney,WY,Sublette
36294,83114,42.247455,-110.941119,Cokeville,WY,Lincoln
36295,83115,42.785695000000004,-110.186599,Daniel,WY,Sublette
36296,83116,41.783935,-110.54,Diamondville,WY,Lincoln
36297,83118,43.044268,-111.008517,Etna,WY,Lincoln
36298,83119,42.674642999999996,-111.01478600000002,Fairview,WY,Lincoln
36299,83120,43.026767,-111.00395300000001,Freedom,WY,Lincoln
36300,83121,41.796019,-110.537302,Frontier,WY,Lincoln
36301,83122,42.789343,-110.94206100000001,Grover,WY,Lincoln
36302,83123,42.206598,-110.286804,La Barge,WY,Lincoln
36303,83124,41.779459,-110.275995,Opal,WY,Lincoln
36304,83126,42.587769,-110.91603400000001,Smoot,WY,Lincoln
36305,83127,42.956988,-110.974174,Thayne,WY,Lincoln
36306,83128,43.030327,-110.884515,Alpine,WY,Lincoln
36307,83201,42.770177000000004,-112.25980700000001,Pocatello,ID,Bannock
36308,83202,42.935728000000005,-112.46793000000001,Pocatello,ID,Bannock
36309,83203,43.033131,-112.42853500000001,Fort Hall,ID,Bingham
36310,83204,42.72575,-112.33566100000002,Pocatello,ID,Bannock
36311,83205,42.80616,-112.410283,Pocatello,ID,Bannock
36312,83206,42.639474,-112.31383600000001,Pocatello,ID,Bannock
36313,83209,42.639474,-112.31383600000001,Pocatello,ID,Bannock
36314,83210,43.004883,-112.83997099999999,Aberdeen,ID,Bingham
