State FIPS Code,County FIPS Code,County Name/State Abbreviation,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
05,065,"Izard County, Arkansas",13461.0,48.1,35188.0,18964.0,2775.0,20.615110318698463
05,067,"Jackson County, Arkansas",17495.0,40.8,31245.0,18316.0,3866.0,22.097742212060588
05,069,"Jefferson County, Arkansas",72385.0,38.7,36377.0,19691.0,16959.0,23.42888720038682
05,071,"Johnson County, Arkansas",26025.0,38.0,34031.0,18871.0,5418.0,20.818443804034583
05,073,"Lafayette County, Arkansas",7127.0,45.3,29882.0,24171.0,1830.0,25.67700294654132
05,075,"Lawrence County, Arkansas",16915.0,41.8,33381.0,18010.0,3840.0,22.70174401418859
05,077,"Lee County, Arkansas",9781.0,40.9,25724.0,14292.0,2447.0,25.017891831101114
05,079,"Lincoln County, Arkansas",13935.0,37.6,32369.0,12610.0,2158.0,15.486185862935056
05,081,"Little River County, Arkansas",12616.0,41.6,35396.0,20237.0,2384.0,18.896639188332276
05,083,"Logan County, Arkansas",21935.0,42.8,36463.0,20340.0,4071.0,18.55937998632323
05,085,"Lonoke County, Arkansas",71279.0,35.8,56156.0,24501.0,8535.0,11.974073710349472
05,087,"Madison County, Arkansas",15761.0,42.3,39839.0,22637.0,2823.0,17.911300044413426
05,089,"Marion County, Arkansas",16404.0,51.5,33726.0,18706.0,3220.0,19.629358693001706
05,091,"Miller County, Arkansas",43666.0,37.6,39955.0,21217.0,8749.0,20.036183758530665
05,093,"Mississippi County, Arkansas",44199.0,35.9,35003.0,19159.0,11057.0,25.016403086042672
05,095,"Monroe County, Arkansas",7542.0,45.5,31541.0,19849.0,2139.0,28.361177406523467
05,097,"Montgomery County, Arkansas",9100.0,49.2,35103.0,20375.0,1677.0,18.428571428571427
05,099,"Nevada County, Arkansas",8668.0,44.0,30750.0,17595.0,2615.0,30.168435625288417
05,101,"Newton County, Arkansas",7988.0,47.9,33176.0,17790.0,1713.0,21.44466700050075
05,103,"Ouachita County, Arkansas",24728.0,42.8,31233.0,20033.0,5970.0,24.14267227434487
05,105,"Perry County, Arkansas",10246.0,43.7,45819.0,22474.0,1804.0,17.60687097403865
05,107,"Phillips County, Arkansas",19929.0,37.3,26829.0,16684.0,6588.0,33.05735360529881
05,109,"Pike County, Arkansas",11017.0,41.4,34519.0,19686.0,1997.0,18.12653172369974
05,111,"Poinsett County, Arkansas",24131.0,39.9,35163.0,17710.0,5238.0,21.70651858605114
05,113,"Polk County, Arkansas",20290.0,44.1,33202.0,18097.0,5069.0,24.982750123213407
05,115,"Pope County, Arkansas",63107.0,34.9,40534.0,20912.0,11620.0,18.413171280523557
05,117,"Prairie County, Arkansas",8334.0,45.4,37500.0,21035.0,1617.0,19.402447804175665
05,119,"Pulaski County, Arkansas",391806.0,36.5,47101.0,28421.0,69467.0,17.7299479844617
05,121,"Randolph County, Arkansas",17584.0,42.9,36318.0,20059.0,3357.0,19.091219290263876
05,123,"St. Francis County, Arkansas",27023.0,38.0,35066.0,16540.0,5761.0,21.318876512600376
05,125,"Saline County, Arkansas",115577.0,39.2,57632.0,26963.0,9706.0,8.397864627045173
05,127,"Scott County, Arkansas",10661.0,42.0,37861.0,17934.0,2204.0,20.673482787730983
05,129,"Searcy County, Arkansas",7938.0,47.5,35542.0,20618.0,1619.0,20.395565633660873
05,131,"Sebastian County, Arkansas",127351.0,37.1,40023.0,23383.0,27745.0,21.78624431688797
05,133,"Sevier County, Arkansas",17193.0,35.2,38956.0,17458.0,3804.0,22.125283545629035
05,135,"Sharp County, Arkansas",17027.0,47.9,31068.0,19404.0,3711.0,21.794796499676984
05,137,"Stone County, Arkansas",12503.0,49.1,30486.0,19616.0,2925.0,23.394385347516597
05,139,"Union County, Arkansas",40334.0,39.5,39836.0,22240.0,8220.0,20.379828432587892
05,141,"Van Buren County, Arkansas",16892.0,47.2,34576.0,19883.0,3084.0,18.257163154155812
05,143,"Washington County, Arkansas",219930.0,31.4,45442.0,25249.0,40272.0,18.311280862092485
05,145,"White County, Arkansas",78823.0,36.1,42197.0,22510.0,13201.0,16.747649797647895
05,147,"Woodruff County, Arkansas",6873.0,43.8,30383.0,18382.0,1622.0,23.59959260875891
05,149,"Yell County, Arkansas",21716.0,39.3,39323.0,18981.0,3738.0,17.21311475409836
06,001,"Alameda County, California",1605217.0,37.2,79831.0,39042.0,189590.0,11.810864200914892
06,003,"Alpine County, California",1184.0,42.8,62375.0,26783.0,221.0,18.66554054054054
06,005,"Amador County, California",36963.0,50.3,57032.0,27496.0,3684.0,9.966723480236993
06,007,"Butte County, California",223877.0,36.9,44366.0,25077.0,46456.0,20.750680060926314
06,009,"Calaveras County, California",44787.0,51.2,53502.0,30577.0,5641.0,12.595172706365686
06,011,"Colusa County, California",21361.0,34.7,54946.0,25745.0,2859.0,13.384204859323065
06,013,"Contra Costa County, California",1107925.0,39.1,82881.0,40792.0,111922.0,10.101947333980188
06,015,"Del Norte County, California",27628.0,38.1,42363.0,20282.0,5219.0,18.89025626176343
06,017,"El Dorado County, California",183000.0,45.2,72586.0,37089.0,17839.0,9.748087431693989
06,019,"Fresno County, California",963160.0,31.6,45963.0,21057.0,254872.0,26.462062378005733
06,021,"Glenn County, California",27976.0,36.9,41699.0,20362.0,5578.0,19.93851873034029
06,023,"Humboldt County, California",135182.0,37.6,42685.0,24038.0,27641.0,20.447248894083533
06,025,"Imperial County, California",178807.0,32.2,42560.0,16311.0,40552.0,22.679201597252906
06,027,"Inyo County, California",18326.0,45.4,47278.0,28678.0,1905.0,10.395067117756193
06,029,"Kern County, California",871337.0,31.2,49788.0,21094.0,194354.0,22.30526191358797
06,031,"Kings County, California",150261.0,31.4,47241.0,19123.0,28661.0,19.074144322212682
06,033,"Lake County, California",64076.0,45.8,36132.0,21799.0,15561.0,24.28522379674137
06,035,"Lassen County, California",31945.0,36.4,51457.0,20072.0,3558.0,11.137893254030365
06,037,"Los Angeles County, California",10057155.0,35.8,57952.0,29301.0,1764081.0,17.54055694677073
06,039,"Madera County, California",153366.0,33.5,45742.0,19021.0,32043.0,20.893157544697
06,041,"Marin County, California",259358.0,45.7,100310.0,63608.0,20445.0,7.882926302639595
06,043,"Mariposa County, California",17645.0,50.6,49265.0,27832.0,2849.0,16.146217058656845
06,045,"Mendocino County, California",87409.0,42.3,43510.0,25278.0,17366.0,19.867519362994656
06,047,"Merced County, California",265001.0,30.6,44397.0,19130.0,62661.0,23.645571148788118
06,049,"Modoc County, California",9033.0,47.1,41194.0,21899.0,1483.0,16.417579984501273
06,051,"Mono County, California",14051.0,38.9,58937.0,31059.0,1222.0,8.696889901074657
06,053,"Monterey County, California",430201.0,33.7,60889.0,25947.0,66289.0,15.408843773027026
06,055,"Napa County, California",140823.0,40.7,74609.0,38057.0,12086.0,8.582404862842008
06,057,"Nevada County, California",98639.0,49.5,57429.0,33385.0,11835.0,11.998296819716339
06,059,"Orange County, California",3132211.0,37.3,78145.0,35939.0,385556.0,12.309387841368286
06,061,"Placer County, California",370571.0,41.5,76926.0,37914.0,31932.0,8.616972186166754
06,063,"Plumas County, California",18754.0,51.7,50125.0,31292.0,2346.0,12.509331342646902
06,065,"Riverside County, California",2323892.0,34.8,57972.0,24443.0,376689.0,16.20940215810373
06,067,"Sacramento County, California",1479300.0,35.7,57509.0,28292.0,260877.0,17.63516528087609
06,069,"San Benito County, California",58051.0,35.1,73814.0,27848.0,6224.0,10.721606862930871
06,071,"San Bernardino County, California",2106754.0,32.7,54469.0,21857.0,392195.0,18.616079523285585
06,073,"San Diego County, California",3253356.0,35.3,66529.0,32482.0,444024.0,13.648183598720829
06,075,"San Francisco County, California",850282.0,38.4,87701.0,55567.0,104180.0,12.252405672471015
06,077,"San Joaquin County, California",714860.0,33.7,55045.0,23477.0,124587.0,17.428167753126488
06,079,"San Luis Obispo County, California",278680.0,39.0,64014.0,32335.0,37208.0,13.35151428161332
06,081,"San Mateo County, California",754748.0,39.5,98546.0,50262.0,57490.0,7.617111936699402
06,083,"Santa Barbara County, California",439395.0,33.7,65161.0,31098.0,66880.0,15.220928777068469
06,085,"Santa Clara County, California",1885056.0,36.8,101173.0,46034.0,172213.0,9.135696764446255
06,087,"Santa Cruz County, California",270931.0,37.0,70088.0,34732.0,39211.0,14.472688618135244
06,089,"Shasta County, California",179228.0,42.3,45582.0,25094.0,30945.0,17.26571741022608
06,091,"Sierra County, California",2931.0,55.2,43984.0,31873.0,329.0,11.224837939269873
06,093,"Siskiyou County, California",43668.0,47.9,38524.0,23542.0,9524.0,21.81002106805899
06,095,"Solano County, California",429596.0,37.5,69227.0,30251.0,53265.0,12.398858462369295
06,097,"Sonoma County, California",497776.0,41.2,66833.0,35639.0,55095.0,11.068231493683905
06,099,"Stanislaus County, California",530561.0,33.8,51591.0,22915.0,95739.0,18.04486194801352
06,101,"Sutter County, California",95406.0,35.6,52943.0,24335.0,16535.0,17.33119510303335
06,103,"Tehama County, California",63015.0,40.6,40687.0,21521.0,13363.0,21.206062048718557
06,105,"Trinity County, California",13180.0,50.6,35270.0,22387.0,2607.0,19.77996965098634
06,107,"Tulare County, California",455769.0,30.4,42789.0,18257.0,127130.0,27.893516233004
06,109,"Tuolumne County, California",53864.0,48.2,50731.0,29431.0,7176.0,13.322441705034903
06,111,"Ventura County, California",843110.0,37.3,78593.0,34331.0,88486.0,10.49519042592307
06,113,"Yolo County, California",209671.0,30.9,57663.0,28996.0,38898.0,18.551921820375732
06,115,"Yuba County, California",73897.0,32.2,48739.0,21418.0,15080.0,20.406782413359135
08,001,"Adams County, Colorado",479977.0,33.3,61444.0,26051.0,61265.0,12.764153282344779
08,003,"Alamosa County, Colorado",16353.0,30.2,32385.0,18133.0,4786.0,29.26680119855684
08,005,"Arapahoe County, Colorado",617668.0,36.3,66288.0,35250.0,65383.0,10.585460150113006
08,007,"Archuleta County, Colorado",12355.0,49.5,45607.0,28649.0,1369.0,11.080534196681505
08,009,"Baca County, Colorado",3648.0,47.5,37477.0,22113.0,634.0,17.37938596491228
08,011,"Bent County, Colorado",5816.0,41.2,34773.0,13772.0,943.0,16.213892709766164
08,013,"Boulder County, Colorado",313961.0,36.0,72282.0,40097.0,40732.0,12.97358589124127
08,014,"Broomfield County, Colorado",62449.0,37.6,83334.0,41698.0,3667.0,5.871991545100802
08,015,"Chaffee County, Colorado",18507.0,49.1,50993.0,27848.0,1673.0,9.039822769762793
08,017,"Cheyenne County, Colorado",2071.0,37.8,54375.0,23916.0,229.0,11.057460164171898
08,019,"Clear Creek County, Colorado",9238.0,47.6,68250.0,42355.0,677.0,7.328426066248106
08,021,"Conejos County, Colorado",8213.0,38.7,34630.0,18221.0,1805.0,21.977352976987703
08,023,"Costilla County, Colorado",3590.0,50.5,26610.0,20238.0,1092.0,30.41782729805014
08,025,"Crowley County, Colorado",5537.0,39.6,31719.0,12513.0,1479.0,26.71121545963518
08,027,"Custer County, Colorado",4375.0,56.8,38605.0,22333.0,772.0,17.645714285714284
08,029,"Delta County, Colorado",30221.0,47.5,42011.0,24261.0,4890.0,16.180801429469575
