ZIP Code,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Hospital Count
10029,79411.0,33.6,32500.0,27030.0,24025.0,30.25399503847074,2
10037,20112.0,34.9,39463.0,26927.0,5813.0,28.903142402545743,1
10304,42054.0,36.5,53843.0,30064.0,8828.0,20.992057830408523,1
10305,41533.0,39.6,74063.0,30422.0,4993.0,12.021765824765849,1
10451,48289.0,32.2,26419.0,17663.0,17377.0,35.985421110397816,1
10456,92712.0,30.0,25868.0,13274.0,37123.0,40.041202864785575,1
10457,74010.0,29.6,25967.0,13626.0,28318.0,38.262396973381975,1
10461,50255.0,38.1,55332.0,28443.0,7278.0,14.482141080489503,1
10467,103045.0,33.4,34964.0,17484.0,30353.0,29.456062885147265,2
10468,75537.0,32.0,34988.0,16705.0,23568.0,31.200603677667896,1
10512,25076.0,45.3,90585.0,42116.0,1187.0,4.7336098261285695,1
10548,3398.0,47.4,78724.0,41311.0,287.0,8.44614479105356,1
10549,16557.0,39.9,95704.0,57636.0,1506.0,9.095850697590143,1
10550,37679.0,34.4,42002.0,23006.0,6965.0,18.48509779983545,1
10567,20652.0,44.5,118482.0,50524.0,1023.0,4.953515398024404,1
10591,23394.0,40.1,79988.0,48732.0,2581.0,11.0327434384885,1
10595,8237.0,38.9,106331.0,37907.0,833.0,10.112905183926186,2
10601,11519.0,37.3,70701.0,56959.0,2259.0,19.61107735046445,1
10701,58841.0,35.8,45049.0,25051.0,15339.0,26.0685576383814,2
10708,22632.0,43.7,105738.0,71528.0,978.0,4.321314952279957,1
10901,23959.0,43.2,93389.0,45764.0,1522.0,6.352518886430986,1
10940,49194.0,37.0,56758.0,27643.0,7075.0,14.381835183152416,1
10960,15357.0,41.4,80742.0,47433.0,1873.0,12.196392524581624,1
10990,19678.0,46.0,87775.0,45759.0,744.0,3.7808720398414475,1
10993,4996.0,32.6,53750.0,21938.0,532.0,10.648518815052041,1
11030,17642.0,47.6,164159.0,87809.0,723.0,4.098174810112233,1
11040,41381.0,43.4,111035.0,42067.0,1374.0,3.3203644184529133,1
11201,60061.0,35.1,109472.0,71656.0,8400.0,13.985781122525433,1
11203,75920.0,39.8,46971.0,23089.0,13481.0,17.756849315068493,3
11206,86486.0,29.1,31549.0,19071.0,31300.0,36.19082857341073,1
11209,67822.0,40.0,65181.0,39005.0,9702.0,14.305092742767833,1
11212,86469.0,33.2,28495.0,17064.0,29835.0,34.5036949658259,1
11213,65434.0,33.3,37556.0,20401.0,17111.0,26.150013754317328,1
11215,69965.0,35.3,108178.0,64040.0,5623.0,8.036875580647466,1
11219,96287.0,27.9,36573.0,15183.0,34431.0,35.75872132271231,1
11229,82914.0,40.6,55187.0,27997.0,13357.0,16.109462816894613,1
11235,78237.0,43.9,45578.0,29449.0,15970.0,20.412336873857637,1
11237,53678.0,30.0,46351.0,20829.0,16454.0,30.6531539923246,1
11355,82028.0,41.9,38451.0,19277.0,18777.0,22.890964061052323,2
11373,96616.0,37.6,45677.0,21017.0,19552.0,20.236813778256188,1
11418,39908.0,33.9,63079.0,22888.0,6534.0,16.37265711135612,1
11432,64686.0,35.2,52277.0,22656.0,11418.0,17.65142380113162,1
11501,19262.0,41.9,89956.0,40037.0,890.0,4.620496313986086,1
11542,27676.0,38.6,74472.0,39829.0,3924.0,14.17834947246712,1
11554,37228.0,42.9,93855.0,39418.0,1645.0,4.418717094659933,1
11570,27463.0,41.5,106574.0,54722.0,1436.0,5.228853366347449,1
11572,29295.0,44.0,103401.0,43101.0,1597.0,5.451442225635774,1
11576,12663.0,47.4,157057.0,79029.0,566.0,4.469714917476112,1
11691,64946.0,31.9,41190.0,18914.0,14548.0,22.400147815107935,1
11706,67959.0,34.7,79928.0,27841.0,6397.0,9.413028443620417,1
11714,21438.0,44.7,99645.0,39352.0,569.0,2.6541655005131077,1
11743,42531.0,45.7,117273.0,61485.0,2623.0,6.1672662293386,1
11768,21375.0,48.1,119806.0,58966.0,932.0,4.360233918128655,1
11772,45243.0,39.1,68955.0,32692.0,5035.0,11.128793404504565,1
11777,8958.0,46.6,104167.0,57071.0,480.0,5.35833891493637,2
11787,36040.0,44.5,115162.0,45675.0,1425.0,3.9539400665926747,1
11794,2983.0,20.0,-666666666.0,4195.0,0.0,0.0,1
11795,25301.0,43.4,112205.0,41972.0,1275.0,5.039326508833643,1
11803,28231.0,43.8,132371.0,52277.0,765.0,2.709787113456838,1
11901,29688.0,42.8,55966.0,27878.0,3029.0,10.202775532201564,1
11944,4208.0,51.7,57096.0,37885.0,645.0,15.327946768060837,1
12010,28787.0,41.9,45981.0,25247.0,5440.0,18.89741897384236,1
12043,8435.0,35.5,49710.0,23867.0,1015.0,12.033195020746888,1
12078,23554.0,42.1,39514.0,22221.0,5399.0,22.921796722425064,1
12180,53168.0,33.5,50530.0,27285.0,9853.0,18.531823653325308,3
12204,7196.0,34.3,55449.0,35699.0,1068.0,14.841578654808227,1
12208,21898.0,33.3,57420.0,33968.0,3738.0,17.070052059548818,3
12308,14575.0,34.2,44482.0,22642.0,2435.0,16.706689536878216,2
12401,34661.0,41.9,48058.0,27044.0,5598.0,16.150716944115864,2
12428,6860.0,38.5,46045.0,22453.0,1244.0,18.134110787172013,1
12455,1877.0,57.5,41200.0,23901.0,269.0,14.331379861481087,1
12534,18078.0,43.6,45223.0,27871.0,3140.0,17.36917800641664,1
12550,54612.0,34.7,55631.0,25873.0,10627.0,19.459093239581044,1
12572,8925.0,53.5,73200.0,48188.0,636.0,7.126050420168068,1
12590,34400.0,42.6,81169.0,37944.0,2678.0,7.784883720930233,1
12601,42555.0,35.3,40699.0,23667.0,8683.0,20.404182822230055,1
12723,1921.0,44.8,52727.0,27240.0,211.0,10.983862571577303,1
12742,73.0,58.6,-666666666.0,26689.0,0.0,0.0,1
12771,14061.0,42.9,49497.0,27296.0,1834.0,13.04316904914302,1
12801,14422.0,39.1,46305.0,27147.0,2288.0,15.864651227291638,1
12866,38422.0,42.4,74025.0,44067.0,2294.0,5.970537712768726,1
12883,4971.0,46.8,53963.0,29118.0,753.0,15.147857573928787,1
12901,33544.0,35.5,44763.0,23785.0,6073.0,18.10457906033866,1
12932,1327.0,52.1,49479.0,27007.0,156.0,11.75584024114544,1
12953,15517.0,37.3,50728.0,19050.0,2182.0,14.061996519945867,1
12983,7520.0,48.5,49859.0,29766.0,1211.0,16.10372340425532,1
13021,38756.0,42.5,47905.0,27516.0,4605.0,11.882031169367323,1
13045,29609.0,33.4,47667.0,23962.0,4333.0,14.634063967037049,1
13126,36566.0,34.5,47992.0,24529.0,6709.0,18.347645353607177,1
13203,16564.0,35.4,32984.0,22917.0,5470.0,33.02342429364888,1
13210,27822.0,21.4,26120.0,17450.0,8390.0,30.155991661275248,3
13326,5372.0,52.2,54637.0,37195.0,545.0,10.145197319434104,1
13346,6304.0,23.2,68456.0,23988.0,523.0,8.296319796954315,1
13365,8715.0,42.1,46849.0,24247.0,1589.0,18.23293172690763,1
13367,8609.0,42.0,55955.0,27371.0,1259.0,14.624230456499014,1
13421,13602.0,41.3,48689.0,24720.0,2162.0,15.89472136450522,1
13440,42257.0,41.2,50128.0,26576.0,6605.0,15.63054641834489,1
13501,38376.0,33.5,32920.0,19592.0,12184.0,31.749009797790286,1
13601,38466.0,32.7,46125.0,23995.0,7314.0,19.014194353455,1
13607,1670.0,49.5,48792.0,29137.0,154.0,9.221556886227544,1
13619,10863.0,35.0,52383.0,23347.0,1798.0,16.55159716468747,1
13642,9922.0,39.4,42733.0,21128.0,2151.0,21.679096956258817,1
13662,16517.0,42.1,41610.0,23998.0,3359.0,20.33662287340316,1
13669,16103.0,42.6,42341.0,24789.0,2807.0,17.43153449667764,1
13676,17060.0,24.8,50777.0,21591.0,2306.0,13.516998827667058,1
13690,741.0,50.4,40556.0,23533.0,126.0,17.004048582995953,1
13753,5597.0,27.6,50434.0,22779.0,496.0,8.86189029837413,1
13815,13444.0,41.3,47385.0,23674.0,2359.0,17.54686105325796,1
13820,22143.0,27.2,45350.0,21396.0,4183.0,18.890845865510546,1
13838,4732.0,38.1,40833.0,22047.0,831.0,17.561284868977175,1
13856,6258.0,44.3,39781.0,21858.0,1470.0,23.48993288590604,1
13903,18099.0,41.8,44136.0,28123.0,3583.0,19.796673849383943,1
13905,27767.0,35.5,37288.0,22421.0,7702.0,27.7379623293838,1
14020,22725.0,43.3,47976.0,26057.0,3585.0,15.775577557755776,1
14048,14349.0,41.1,37480.0,21274.0,3647.0,25.41640532441285,1
14081,3154.0,45.7,54265.0,27039.0,448.0,14.20418516169943,1
14092,11399.0,51.3,63355.0,35109.0,792.0,6.9479778927976135,1
14094,49463.0,42.3,52618.0,28157.0,5633.0,11.388310454278956,1
14103,10601.0,41.3,46345.0,23241.0,1279.0,12.064899537779455,1
14141,7424.0,44.7,54746.0,28651.0,627.0,8.445581896551724,1
14210,14379.0,34.1,36081.0,20195.0,3514.0,24.438417136101258,1
14214,20381.0,30.7,43415.0,24741.0,6247.0,30.65109660958736,1
14215,39458.0,32.7,33643.0,18685.0,11273.0,28.56961832834913,2
14217,22815.0,43.2,51281.0,30245.0,1777.0,7.788735481043173,1
14220,24132.0,37.6,49749.0,25222.0,3961.0,16.413890270180673,1
14302,48.0,87.0,-666666666.0,7873.0,0.0,0.0,1
14424,27330.0,46.3,54654.0,32345.0,3141.0,11.492864983534577,1
14432,6237.0,41.7,54397.0,24799.0,619.0,9.92464325797659,1
14437,11484.0,42.8,44945.0,21841.0,1730.0,15.064437478230582,1
14456,19522.0,36.9,43476.0,24073.0,3119.0,15.976846634566131,1
14513,13740.0,44.3,41268.0,22816.0,2475.0,18.013100436681224,1
14527,12738.0,44.3,49010.0,26031.0,1780.0,13.973936253729,1
14569,6084.0,42.6,53620.0,26575.0,1149.0,18.88560157790927,1
14620,24902.0,31.4,42576.0,28250.0,4849.0,19.47233153963537,2
14621,34095.0,33.0,25694.0,14349.0,13096.0,38.410324094442004,1
14626,30500.0,47.0,55578.0,30810.0,2241.0,7.3475409836065575,1
14701,40070.0,40.8,37016.0,21075.0,9543.0,23.815822310955827,1
14727,5137.0,46.3,48750.0,26848.0,685.0,13.33463110765038,1
14760,18235.0,43.2,42729.0,25786.0,3532.0,19.369344666849464,1
14787,4929.0,49.1,44931.0,24504.0,819.0,16.615946439440048,1
14810,12621.0,44.5,41026.0,23420.0,2363.0,18.72276364788844,2
14830,19965.0,40.1,55895.0,34070.0,2280.0,11.419984973703983,1
14843,12968.0,40.4,41859.0,22411.0,2591.0,19.979950647748304,1
14850,66159.0,26.6,50290.0,28657.0,14266.0,21.563203796913495,1
14865,3005.0,49.4,39132.0,21128.0,485.0,16.139767054908486,1
14895,9446.0,47.0,41849.0,24006.0,1745.0,18.473427905991954,1
14905,9150.0,45.4,57297.0,34985.0,1137.0,12.426229508196721,1
15009,15206.0,47.9,59983.0,32257.0,820.0,5.392608180981192,1
15025,16379.0,42.3,53573.0,33196.0,2326.0,14.201111178948654,1
15063,11178.0,46.5,52180.0,27620.0,1030.0,9.214528538200035,1
15065,11674.0,44.8,52749.0,24911.0,1386.0,11.872537262292273,1
15132,21577.0,42.3,27700.0,18858.0,6592.0,30.55104972887797,1
